State,Chief Minister,Twitter,
Andhra Pradesh,Shri. Nara Chandrababu Naidu,@AndhraPradeshCM,@ncbn
Arunachal Pradesh,Shri Pema Khandu,@PemaKhanduAP,
Assam,Shri Sarbananda Sonowal,@sarbanandsonwal,
Bihar,Shri Nitish Kumar,@CMOBihar,@NitishKumar
Chhattisgarh,Dr. Raman Singh,@ChhattisgarhCMO,@drramansingh
Delhi (NCT),Shri Arvind Kejriwal,@ArvindKejriwal,
Goa,Shri Laxmikant Parsekar,@goacm,@LParsekarBJP
Gujarat,Shri Vijaybhai R. Rupani,@CMOGuj,@vijayrupanibjp
Haryana,Shri Manohar Lal,@mlkhattar,
Himachal Pradesh,Shri Virbhadra Singh,@HimachalCM,@virbhadrasingh
Jammu and Kashmir,Mehbooba Mufti Sayeed,@MehboobaMufti,
Jharkhand,Shri Raghubar Das,@CMOJharkhand,@dasraghubar
Karnataka,Shri Siddaramaiah,@CMofKarnataka,@Siddaramaiah9
Kerala,Shri Pinarayi Vijayan,@CMOKerala,@vijayanpinarayi
Madhya Pradesh,Shri Shivraj Singh Chouhan,@CMMadhyaPradesh,@ChouhanShivraj
Maharashtra,Shri Devendra Fadnavis,@CMOMaharashtra,@Dev_Fadnavis
Meghalaya,Dr. Mukul Sangma,@mukulmsangma,
Mizoram,Shri Lal Thanhawla,,
Nagaland,Dr. Shurhozelie Liezietsu,,
Odisha,Shri Naveen Patnaik,@CMO_Odisha,@Naveen_Odisha
Puducherry (UT),Shri. V. Narayanasamy,@CM_Puducherry,@VNarayanasami
Punjab,Shri Parkash Singh Badal,@CM0Punjab,@CMOPUNJAB
Rajasthan,Smt. Vasundhara Raje,@VasundharaBJP,
Sikkim,Shri Pawan Kumar Chamling,@pawanchamling5,
Tamil Nadu,Shri Thiru Edappadi K. Palaniswami,@CM_tamilnadu,
Telangana,Shri K Chandrasekhar Rao,@TelanganaCMO,@kcrtelangana
Tripura,Shri Manik Sarkar,,
Uttar Pradesh,Shri Akhilesh Yadav,@CMOfficeUP,@yadavakhilesh
Uttarakhand,Shri Harish Rawat,@harishrawatcmuk,
West Bengal,Km. Mamata Banerjee,@MamataOfficial,